Book-Title,Book-Author,Publisher,Image-URL-M
Fahrenheit 451,Ray Bradbury,Distribooks Inc,http://images.amazon.com/images/P/3257208626.01.MZZZZZZZ.jpg
The God of Small Things,Arundhati Roy,Perennial,http://images.amazon.com/images/P/0060977493.01.MZZZZZZZ.jpg
Four Blind Mice,James Patterson,"Little, Brown",http://images.amazon.com/images/P/0316693006.01.MZZZZZZZ.jpg
Congo,Michael Crichton,Ballantine Books,http://images.amazon.com/images/P/0345378490.01.MZZZZZZZ.jpg
Plainsong (Vintage Contemporaries),KENT HARUF,Vintage,http://images.amazon.com/images/P/0375705856.01.MZZZZZZZ.jpg
Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,Avon,http://images.amazon.com/images/P/0380717018.01.MZZZZZZZ.jpg
All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,Avon,http://images.amazon.com/images/P/0380718332.01.MZZZZZZZ.jpg
The Brethren,JOHN GRISHAM,Doubleday,http://images.amazon.com/images/P/0385497466.01.MZZZZZZZ.jpg
The King of Torts,John Grisham,Doubleday Books,http://images.amazon.com/images/P/0385508042.01.MZZZZZZZ.jpg
Bleachers,John Grisham,Doubleday,http://images.amazon.com/images/P/0385511612.01.MZZZZZZZ.jpg
Roses Are Red (Alex Cross Novels),James Patterson,Warner Vision,http://images.amazon.com/images/P/0446605484.01.MZZZZZZZ.jpg
The Rescue,Nicholas Sparks,Warner Books,http://images.amazon.com/images/P/0446610399.01.MZZZZZZZ.jpg
Pet Sematary,Stephen King,Signet Book,http://images.amazon.com/images/P/0451162072.01.MZZZZZZZ.jpg
Girl with a Pearl Earring,Tracy Chevalier,Plume Books,http://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg
Deception Point,Dan Brown,Pocket,http://images.amazon.com/images/P/0671027387.01.MZZZZZZZ.jpg
Tis : A Memoir,Frank McCourt,Scribner,http://images.amazon.com/images/P/0684848783.01.MZZZZZZZ.jpg
Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,Health Communications,http://images.amazon.com/images/P/155874262X.01.MZZZZZZZ.jpg
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,Regan Books,http://images.amazon.com/images/P/0060987103.01.MZZZZZZZ.jpg
Life of Pi,Yann Martel,Harcourt,http://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg
Secret History,DONNA TARTT,Ballantine Books,http://images.amazon.com/images/P/0804111359.01.MZZZZZZZ.jpg
Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,Health Communications,http://images.amazon.com/images/P/1558744150.01.MZZZZZZZ.jpg
"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,Knopf Books for Young Readers,http://images.amazon.com/images/P/0375823352.01.MZZZZZZZ.jpg
"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,Knopf Books for Young Readers,http://images.amazon.com/images/P/037582345X.01.MZZZZZZZ.jpg
"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,Knopf Books for Young Readers,http://images.amazon.com/images/P/0375823468.01.MZZZZZZZ.jpg
Animal Farm,George Orwell,Signet,http://images.amazon.com/images/P/0451526341.01.MZZZZZZZ.jpg
A Man in Full,Tom Wolfe,Farrar Straus &amp; Giroux,http://images.amazon.com/images/P/0374270325.01.MZZZZZZZ.jpg
A Painted House,John Grisham,Dell Publishing Company,http://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg
The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,Perennial,http://images.amazon.com/images/P/0060977477.01.MZZZZZZZ.jpg
Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,Perennial,http://images.amazon.com/images/P/0380730138.01.MZZZZZZZ.jpg
The Hunt for Red October,Tom Clancy,Berkley Publishing Group,http://images.amazon.com/images/P/0425120279.01.MZZZZZZZ.jpg
The Secret Life of Bees,Sue Monk Kidd,Penguin Books,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg
Digital Fortress : A Thriller,Dan Brown,St. Martin's Press,http://images.amazon.com/images/P/0312995423.01.MZZZZZZZ.jpg
The Firm,John Grisham,Doubleday Books,http://images.amazon.com/images/P/0385416342.01.MZZZZZZZ.jpg
The Client,John Grisham,Doubleday Books,http://images.amazon.com/images/P/038542471X.01.MZZZZZZZ.jpg
Heart of the Sea (Irish Trilogy),Nora Roberts,Jove Books,http://images.amazon.com/images/P/0515128554.01.MZZZZZZZ.jpg
The Little Prince,Antoine de Saint-Exup̩ry,Harcourt,http://images.amazon.com/images/P/0156528207.01.MZZZZZZZ.jpg
Moonlight Becomes You,Mary Higgins Clark,Pocket,http://images.amazon.com/images/P/0671867113.01.MZZZZZZZ.jpg
The Lovely Bones: A Novel,Alice Sebold,"Little, Brown",http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg
Hannibal,Thomas Harris,Dell Publishing Company,http://images.amazon.com/images/P/0440224675.01.MZZZZZZZ.jpg
The Robber Bride,Margaret Atwood,Bantam,http://images.amazon.com/images/P/0553569058.01.MZZZZZZZ.jpg
A Widow for One Year,JOHN IRVING,Ballantine Books,http://images.amazon.com/images/P/0345424719.01.MZZZZZZZ.jpg
Empire Falls,Richard Russo,Vintage Books USA,http://images.amazon.com/images/P/0375726403.01.MZZZZZZZ.jpg
Oryx and Crake,Margaret Atwood,Nan A. Talese,http://images.amazon.com/images/P/0385503857.01.MZZZZZZZ.jpg
Black and Blue,ANNA QUINDLEN,Dell,http://images.amazon.com/images/P/0440226104.01.MZZZZZZZ.jpg
She's Come Undone (Oprah's Book Club),Wally Lamb,Pocket,http://images.amazon.com/images/P/0671021001.01.MZZZZZZZ.jpg
Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,Owl Books,http://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg
Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,Tyndale House Publishers,http://images.amazon.com/images/P/0842329129.01.MZZZZZZZ.jpg
The Diary of Ellen Rimbauer: My Life at Rose Red,Joyce Reardon,Hyperion,http://images.amazon.com/images/P/0786868015.01.MZZZZZZZ.jpg
The Bean Trees,Barbara Kingsolver,Perennial,http://images.amazon.com/images/P/0060915544.01.MZZZZZZZ.jpg
The Red Tent (Bestselling Backlist),Anita Diamant,Picador USA,http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg
The Nanny Diaries: A Novel,Emma McLaughlin,St. Martin's Press,http://images.amazon.com/images/P/0312278586.01.MZZZZZZZ.jpg
Postmortem,Patricia Daniels Cornwell,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/0380710218.01.MZZZZZZZ.jpg
While My Pretty One Sleeps,Mary Higgins Clark,Pocket,http://images.amazon.com/images/P/0671673688.01.MZZZZZZZ.jpg
Three Junes,JULIA GLASS,Anchor,http://images.amazon.com/images/P/0385721420.01.MZZZZZZZ.jpg
Back Roads,Tawni O'Dell,Signet Book,http://images.amazon.com/images/P/0451202341.01.MZZZZZZZ.jpg
In Her Shoes : A Novel,Jennifer Weiner,Atria Books,http://images.amazon.com/images/P/0743418190.01.MZZZZZZZ.jpg
The Kiss,Danielle Steel,Delacorte Press,http://images.amazon.com/images/P/0385335407.01.MZZZZZZZ.jpg
Strangers,Dean R. Koontz,Berkley Publishing Group,http://images.amazon.com/images/P/0425181111.01.MZZZZZZZ.jpg
A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,Ballantine Books,http://images.amazon.com/images/P/0449907481.01.MZZZZZZZ.jpg
River's End,Nora Roberts,Jove Books,http://images.amazon.com/images/P/0515127833.01.MZZZZZZZ.jpg
The Chamber,John Grisham,Doubleday Books,http://images.amazon.com/images/P/0385424728.01.MZZZZZZZ.jpg
The Partner,John Grisham,Doubleday Books,http://images.amazon.com/images/P/0385472951.01.MZZZZZZZ.jpg
Chosen Prey,John Sandford,Berkley Publishing Group,http://images.amazon.com/images/P/0425182878.01.MZZZZZZZ.jpg
Guilty as Sin,TAMI HOAG,Bantam,http://images.amazon.com/images/P/0553564528.01.MZZZZZZZ.jpg
Night Sins,TAMI HOAG,Bantam,http://images.amazon.com/images/P/055356451X.01.MZZZZZZZ.jpg
"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,Ballantine Books,http://images.amazon.com/images/P/0345313860.01.MZZZZZZZ.jpg
The Mummy or Ramses the Damned,Anne Rice,Ballantine Books,http://images.amazon.com/images/P/0345369947.01.MZZZZZZZ.jpg
Vanished,Danielle Steel,Delacorte Press,http://images.amazon.com/images/P/0385306032.01.MZZZZZZZ.jpg
Daisy Fay and the Miracle Man,Fannie Flagg,Warner Books,http://images.amazon.com/images/P/0446394521.01.MZZZZZZZ.jpg
Angela's Ashes: A Memoir,Frank McCourt,Scribner,http://images.amazon.com/images/P/068484267X.01.MZZZZZZZ.jpg
The Next Accident,LISA GARDNER,Bantam,http://images.amazon.com/images/P/0553578693.01.MZZZZZZZ.jpg
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,Perennial,http://images.amazon.com/images/P/0060938455.01.MZZZZZZZ.jpg
Echoes,Maeve Binchy,Dell,http://images.amazon.com/images/P/0440122090.01.MZZZZZZZ.jpg
One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,HarperTorch,http://images.amazon.com/images/P/0061009059.01.MZZZZZZZ.jpg
Along Came a Spider (Alex Cross Novels),James Patterson,Warner Books,http://images.amazon.com/images/P/0446364193.01.MZZZZZZZ.jpg
Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,Warner Books,http://images.amazon.com/images/P/0446672211.01.MZZZZZZZ.jpg
The Girls' Guide to Hunting and Fishing,Melissa Bank,Penguin Books,http://images.amazon.com/images/P/0140293248.01.MZZZZZZZ.jpg
Icy Sparks,Gwyn Hyman Rubio,Penguin Books,http://images.amazon.com/images/P/0142000205.01.MZZZZZZZ.jpg
The Da Vinci Code,Dan Brown,Doubleday,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg
A Map of the World,Jane Hamilton,Doubleday Books,http://images.amazon.com/images/P/0385500769.01.MZZZZZZZ.jpg
Bridget Jones : The Edge of Reason,Helen Fielding,Viking Books,http://images.amazon.com/images/P/0670892963.01.MZZZZZZZ.jpg
Big Trouble,Dave Barry,Berkley Publishing Group,http://images.amazon.com/images/P/0425184129.01.MZZZZZZZ.jpg
Snow Falling on Cedars,David Guterson,Harcourt,http://images.amazon.com/images/P/0151001006.01.MZZZZZZZ.jpg
Skipping Christmas,JOHN GRISHAM,Doubleday,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg
The Reader,Bernhard Schlink,Random House,http://images.amazon.com/images/P/0679442790.01.MZZZZZZZ.jpg
Daddy's Little Girl,Mary Higgins Clark,Simon &amp; Schuster,http://images.amazon.com/images/P/0743206045.01.MZZZZZZZ.jpg
If Only It Were True,Marc Levy,Atria,http://images.amazon.com/images/P/0743406176.01.MZZZZZZZ.jpg
Message in a Bottle,Nicholas Sparks,Warner Books,http://images.amazon.com/images/P/0446523569.01.MZZZZZZZ.jpg
The Guardian,Nicholas Sparks,Warner Books,http://images.amazon.com/images/P/0446527793.01.MZZZZZZZ.jpg
Nights in Rodanthe,Nicholas Sparks,Warner Books,http://images.amazon.com/images/P/0446531332.01.MZZZZZZZ.jpg
"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel,Doubleday Books,http://images.amazon.com/images/P/0385420161.01.MZZZZZZZ.jpg
"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,Del Rey,http://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg
The Villa,Nora Roberts,Putnam Publishing Group,http://images.amazon.com/images/P/0399147128.01.MZZZZZZZ.jpg
Suzanne's Diary for Nicholas,James Patterson,"Little, Brown",http://images.amazon.com/images/P/0316969443.01.MZZZZZZZ.jpg
2nd Chance,James Patterson,"Little, Brown",http://images.amazon.com/images/P/0316693200.01.MZZZZZZZ.jpg
"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,HarperCollins,http://images.amazon.com/images/P/0064407667.01.MZZZZZZZ.jpg
Me Talk Pretty One Day,David Sedaris,Back Bay Books,http://images.amazon.com/images/P/0316776963.01.MZZZZZZZ.jpg
The Door to December,Dean R. Koontz,Signet Book,http://images.amazon.com/images/P/0451181379.01.MZZZZZZZ.jpg
Dreamcatcher,Stephen King,Scribner,http://images.amazon.com/images/P/0743211383.01.MZZZZZZZ.jpg
Smilla's Sense of Snow,Peter Hoeg,Island,http://images.amazon.com/images/P/0440218535.01.MZZZZZZZ.jpg
The Giver (21st Century Reference),LOIS LOWRY,Laure Leaf,http://images.amazon.com/images/P/0440219078.01.MZZZZZZZ.jpg
Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,Tor Books,http://images.amazon.com/images/P/0312853238.01.MZZZZZZZ.jpg
A Time to Kill,JOHN GRISHAM,Dell,http://images.amazon.com/images/P/0440211727.01.MZZZZZZZ.jpg
Charming Billy,Alice McDermott,Delta,http://images.amazon.com/images/P/038533334X.01.MZZZZZZZ.jpg
No Safe Place,RICHARD NORTH PATTERSON,Ballantine Books,http://images.amazon.com/images/P/0345404777.01.MZZZZZZZ.jpg
Granny Dan,DANIELLE STEEL,"Random House, Inc.",http://images.amazon.com/images/P/0440224829.01.MZZZZZZZ.jpg
Wuthering Heights,EMILY BRONTE,Bantam,http://images.amazon.com/images/P/0553212583.01.MZZZZZZZ.jpg
Toxin,Robin Cook,Berkley Publishing Group,http://images.amazon.com/images/P/0425166619.01.MZZZZZZZ.jpg
Dark Paradise,TAMI HOAG,Bantam,http://images.amazon.com/images/P/0553561618.01.MZZZZZZZ.jpg
Middlesex: A Novel,Jeffrey Eugenides,Picador,http://images.amazon.com/images/P/0312422156.01.MZZZZZZZ.jpg
The Rainmaker,JOHN GRISHAM,Dell,http://images.amazon.com/images/P/044022165X.01.MZZZZZZZ.jpg
The Bad Place,Dean R. Koontz,Berkley Publishing Group,http://images.amazon.com/images/P/0425124347.01.MZZZZZZZ.jpg
The Phantom Tollbooth,Norton Juster,Yearling Books,http://images.amazon.com/images/P/0394820371.01.MZZZZZZZ.jpg
Dances With Wolves,Michael Blake,Fawcett Books,http://images.amazon.com/images/P/0449134482.01.MZZZZZZZ.jpg
The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,Del Rey,http://images.amazon.com/images/P/0345348036.01.MZZZZZZZ.jpg
Degree of Guilt,Richard North Patterson,Ballantine Books,http://images.amazon.com/images/P/034538184X.01.MZZZZZZZ.jpg
SHIPPING NEWS,Annie Proulx,Scribner,http://images.amazon.com/images/P/0671510053.01.MZZZZZZZ.jpg
The Smoke Jumper,Nicholas Evans,Delacorte Press,http://images.amazon.com/images/P/0385334036.01.MZZZZZZZ.jpg
Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,Bantam Classics,http://images.amazon.com/images/P/055321313X.01.MZZZZZZZ.jpg
Fall On Your Knees (Oprah #45),Ann-Marie MacDonald,Touchstone,http://images.amazon.com/images/P/0743237188.01.MZZZZZZZ.jpg
The Carousel,Belva Plain,Dell,http://images.amazon.com/images/P/0440216842.01.MZZZZZZZ.jpg
While I Was Gone,Sue Miller,Ballantine Books,http://images.amazon.com/images/P/0345443284.01.MZZZZZZZ.jpg
The House of the Spirits,Isabel Allende,Bantam Books,http://images.amazon.com/images/P/0553273914.01.MZZZZZZZ.jpg
Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,Perennial,http://images.amazon.com/images/P/0060928336.01.MZZZZZZZ.jpg
She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,Washington Square Press,http://images.amazon.com/images/P/0671003755.01.MZZZZZZZ.jpg
STONES FROM THE RIVER,Ursula Hegi,Simon &amp; Schuster,http://images.amazon.com/images/P/0684844729.01.MZZZZZZZ.jpg
Dragonfly in Amber,DIANA GABALDON,Dell,http://images.amazon.com/images/P/0440215625.01.MZZZZZZZ.jpg
Naked,David Sedaris,Back Bay Books,http://images.amazon.com/images/P/0316777730.01.MZZZZZZZ.jpg
Kiss the Girls,James Patterson,Warner Books,http://images.amazon.com/images/P/0446601241.01.MZZZZZZZ.jpg
Different Seasons,Stephen King,Penguin Putnam~mass,http://images.amazon.com/images/P/0451124340.01.MZZZZZZZ.jpg
The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,Ballantine Books,http://images.amazon.com/images/P/0345384466.01.MZZZZZZZ.jpg
Jack &amp; Jill (Alex Cross Novels),James Patterson,Warner Books,http://images.amazon.com/images/P/0446604801.01.MZZZZZZZ.jpg
American Gods,Neil Gaiman,HarperTorch,http://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg
Red Dragon,Thomas Harris,Dell Publishing Company,http://images.amazon.com/images/P/0440206154.01.MZZZZZZZ.jpg
Jurassic Park,Michael Crichton,Ballantine Books,http://images.amazon.com/images/P/0345370775.01.MZZZZZZZ.jpg
Stanislaski Brothers (Silhouette Promo),Nora Roberts,Silhouette,http://images.amazon.com/images/P/0373484224.01.MZZZZZZZ.jpg
Neverwhere,Neil Gaiman,Avon,http://images.amazon.com/images/P/0380789019.01.MZZZZZZZ.jpg
The Thorn Birds,Colleen McCullough,Avon,http://images.amazon.com/images/P/0380018179.01.MZZZZZZZ.jpg
"Forever... : A Novel of Good and Evil, Love and Hope",Jude Deveraux,Pocket,http://images.amazon.com/images/P/067101420X.01.MZZZZZZZ.jpg
Mother of Pearl,Melinda Haynes,Hyperion,http://images.amazon.com/images/P/0786866276.01.MZZZZZZZ.jpg
Choke,CHUCK PALAHNIUK,Anchor,http://images.amazon.com/images/P/0385720920.01.MZZZZZZZ.jpg
"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,Perennial,http://images.amazon.com/images/P/0380813815.01.MZZZZZZZ.jpg
Lake Wobegon Days,Garrison Keillor,Penguin/Puffin Mass Market (Mm),http://images.amazon.com/images/P/0140099832.01.MZZZZZZZ.jpg
The Color of Water: A Black Man's Tribute to His White Mother,James McBride,Riverhead Books,http://images.amazon.com/images/P/1573225789.01.MZZZZZZZ.jpg
Anne Frank: The Diary of a Young Girl,ANNE FRANK,Bantam,http://images.amazon.com/images/P/0553296981.01.MZZZZZZZ.jpg
Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella,Delta,http://images.amazon.com/images/P/0385335881.01.MZZZZZZZ.jpg
Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,Delta,http://images.amazon.com/images/P/0385335482.01.MZZZZZZZ.jpg
The Cider House Rules,John Irving,Bantam Books,http://images.amazon.com/images/P/0553258001.01.MZZZZZZZ.jpg
Good Omens,Neil Gaiman,Ace Books,http://images.amazon.com/images/P/0441003257.01.MZZZZZZZ.jpg
The Poisonwood Bible: A Novel,Barbara Kingsolver,Perennial,http://images.amazon.com/images/P/0060930535.01.MZZZZZZZ.jpg
A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,Vintage Books USA,http://images.amazon.com/images/P/0375702709.01.MZZZZZZZ.jpg
Jewel,Bret Lott,Washington Square Press,http://images.amazon.com/images/P/0671038184.01.MZZZZZZZ.jpg
A Prayer for Owen Meany,John Irving,Ballantine Books,http://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg
Cold Sassy Tree,Olive Ann Burns,Delta,http://images.amazon.com/images/P/038531258X.01.MZZZZZZZ.jpg
The Shipping News : A Novel,Annie Proulx,Scribner,http://images.amazon.com/images/P/0743225406.01.MZZZZZZZ.jpg
The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,Anchor,http://images.amazon.com/images/P/1400034779.01.MZZZZZZZ.jpg
"Breath, Eyes, Memory",Edwidge Danticat,Vintage Books USA,http://images.amazon.com/images/P/037570504X.01.MZZZZZZZ.jpg
Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris,Penguin Books,http://images.amazon.com/images/P/0140244824.01.MZZZZZZZ.jpg
Summer Sisters,Judy Blume,Delacorte Press,http://images.amazon.com/images/P/0385324057.01.MZZZZZZZ.jpg
At Home in Mitford (The Mitford Years),Jan Karon,Viking Books,http://images.amazon.com/images/P/014025448X.01.MZZZZZZZ.jpg
Bel Canto: A Novel,Ann Patchett,Perennial,http://images.amazon.com/images/P/0060934417.01.MZZZZZZZ.jpg
All Around the Town,Mary Higgins Clark,Pocket Star,http://images.amazon.com/images/P/0671793489.01.MZZZZZZZ.jpg
A Civil Action,JONATHAN HARR,Vintage,http://images.amazon.com/images/P/0679772677.01.MZZZZZZZ.jpg
Faking It,Jennifer Crusie,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312983824.01.MZZZZZZZ.jpg
The Loop,Nicholas Evans,Dell Publishing Company,http://images.amazon.com/images/P/0440224624.01.MZZZZZZZ.jpg
Good in Bed,Jennifer Weiner,Washington Square Press,http://images.amazon.com/images/P/0743418174.01.MZZZZZZZ.jpg
We'll Meet Again,Mary Higgins Clark,Pocket,http://images.amazon.com/images/P/0671004565.01.MZZZZZZZ.jpg
How to Make an American Quilt,Whitney Otto,Ballantine Books,http://images.amazon.com/images/P/0345370805.01.MZZZZZZZ.jpg
Ellen Foster,Kaye Gibbons,Vintage Books,http://images.amazon.com/images/P/0375703055.01.MZZZZZZZ.jpg
The Hours : A Novel,Michael Cunningham,Picador,http://images.amazon.com/images/P/0312243022.01.MZZZZZZZ.jpg
Cold Mountain : A Novel,CHARLES FRAZIER,Vintage,http://images.amazon.com/images/P/0375700757.01.MZZZZZZZ.jpg
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,McGraw-Hill,http://images.amazon.com/images/P/0070212570.01.MZZZZZZZ.jpg
The Last Time They Met : A Novel,Anita Shreve,Back Bay Books,http://images.amazon.com/images/P/0316781266.01.MZZZZZZZ.jpg
The Green Mile,Stephen King,Pocket,http://images.amazon.com/images/P/0671032658.01.MZZZZZZZ.jpg
A Heartbreaking Work of Staggering Genius,Dave Eggers,Vintage Books USA,http://images.amazon.com/images/P/0375725784.01.MZZZZZZZ.jpg
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,Del Rey,http://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg
Watership Down,Richard George Adams,Harpercollins,http://images.amazon.com/images/P/038039586X.01.MZZZZZZZ.jpg
The Blue Nowhere : A Novel,Jeffery Deaver,Pocket,http://images.amazon.com/images/P/0671042262.01.MZZZZZZZ.jpg
Sudden Prey,John Sandford,Berkley Publishing Group,http://images.amazon.com/images/P/0425157539.01.MZZZZZZZ.jpg
A Year in Provence,Peter Mayle,Vintage Books USA,http://images.amazon.com/images/P/0679731148.01.MZZZZZZZ.jpg
